id,name,description,is_paid
1,Музыка,"Мероприятия, связанные с музыкой", 0
2,Концерты,"Живые музыкальные выступления", 0
3,Поп,"Популярная музыка", 0
4,Рок,"Рок-музыка", 0
5,Электронная музыка,"Электронные жанры", 0
6,Классическая музыка,"Классическая музыка", 0
7,Народная музыка,"Традиционная музыка", 0
8,Шоу на открытом воздухе,"Концерты под открытым небом", 0
9,Музыкальные фестивали,"Фестивали музыки", 0
10,Современная музыка,"Фестивали современной музыки", 0
11,Уличные выступления,"Музыка на улице", 0
12,Фестивали на фудмаркетах,"Музыка на фудмаркете", 0
13,Квартирники,"Домашние концерты", 0
14,Домашние концерты,"Камерные выступления в домашних условиях", 0
15,Поддержка местных исполнителей,"Мероприятия для локальных музыкантов", 0
16,Благотворительные концерты,"Концерты в поддержку благотворительности", 0
17,Театр,"Театральные мероприятия", 0
18,Театральные постановки,"Спектакли разных жанров", 0
19,Драмы,"Драматические спектакли", 0
20,Комедии,"Комедийные постановки", 0
21,Мюзиклы,"Музыкальные театральные представления", 0
22,Кукольные спектакли,"Спектакли с куклами", 0
23,Спектакли для детей,"Театр для детей", 0
24,Выставки,"Художественные выставки", 0
25,Живопись,"Выставки картин и рисунков", 0
26,Фотография,"Фотовыставки и обучение фотографии", 0
27,Скульптура,"Выставки и обучение скульптуре", 0
28,Инсталляции и перформансы,"Современные художественные формы", 0
29,Арт-фестивали,"Фестивали искусства", 0
30,Этнофестивали,"Фестивали народной культуры", 0
31,Фестивали скульптуры,"Фестивали скульптурных произведений", 0
32,Фестивали живописи,"Фестивали изобразительного искусства", 0
33,Мастер-классы по искусству,"Обучение в области искусства", 0
34,Рисование,"Обучение техникам рисования и выставки", 0
35,Кино,"Кинематографические мероприятия", 0
36,Кинофестивали,"Фестивали кино", 0
37,Независимое кино,"Показы независимых фильмов", 0
38,Короткометражки,"Фестивали короткометражного кино", 0
39,Международные фестивали,"Мировые кинофестивали", 0
40,Киномарафоны,"Длительные кинопоказы", 0
41,Тематические вечера,"Показы на определённую тему", 0
42,Классика кино,"Классические фильмы", 0
43,Ночные показы,"Ночные кинопоказы", 0
44,Обучение кинематографии,"Образовательные мероприятия в кино", 0
45,Съёмка,"Обучение видеосъёмке", 0
46,Монтаж,"Обучение монтажу видео", 0
47,Кинопроизводство,"Обучение созданию кино", 0
48,Спорт,"Спортивные мероприятия", 0
49,Соревнования,"Спортивные соревнования", 0
50,Футбол,"Футбольные матчи", 0
51,Хоккей,"Хоккейные игры", 0
52,Баскетбол,"Баскетбольные матчи", 0
53,Волейбол,"Волейбольные матчи", 0
54,Теннис,"Теннисные турниры", 0
55,Шахматы,"Шахматные турниры", 0
56,Активный отдых,"Активности на свежем воздухе", 0
57,Марафоны,"Беговые марафоны", 0
58,Велогонки,"Велосипедные гонки", 0
59,Автогонки,"Автомобильные соревнования", 0
60,Альпинизм,"Скалолазание и альпинизм", 0
61,Походы и кемпинг,"Походы и отдых на природе", 0
62,Фитнес,"Фитнес-мероприятия", 0
63,Йога,"Занятия йогой", 0
64,Фитнес-марафоны,"Массовые фитнес-мероприятия", 0
65,Групповые тренировки,"Совместные тренировки", 0
66,Кулинария,"Кулинарные мероприятия", 0
67,Кулинарные события,"Кулинарные мероприятия и мастер-классы", 0
68,Дегустации,"Проба различных блюд и напитков", 0
69,Тематические ужины,"Ужины по особым темам", 0
70,Фудмаркеты,"Рынки еды", 0
71,Кулинарные конкурсы,"Соревнования поваров", 0
72,Кулинарные фестивали,"Кулинарные фестивали", 0
73,Кухни мира,"Фестивали национальных кухонь", 0
74,Уличная еда,"Фестивали стрит-фуда", 0
75,Органические продукты,"Фестивали органической еды", 0
76,Гастрономические туры,"Путешествия с целью дегустации", 0
77,Наука и образование,"Образовательные мероприятия", 0
78,Лекции и семинары,"Обучающие лекции и семинары", 0
79,Научные конференции,"Научные конференции", 0
80,Курсы и тренинги,"Образовательные программы", 0
81,Научные фестивали,"Популяризация науки", 0
82,Фестивали науки,"События, посвященные науке", 0
83,Технологические выставки,"Выставки технологий", 0
84,Робототехника,"Соревнования и выставки роботов", 0
85,Мастер-классы,"Практические занятия и обучение", 0
86,Программирование,"Обучение программированию", 0
87,Танцы,"Обучение танцам", 0
88,Музыка (обучение),"Обучение игре на инструментах", 0
89,Культура и традиции,"Мероприятия, связанные с культурой", 0
90,Культурные фестивали,"Фестивали культуры", 0
91,Праздники урожая,"События, приуроченные к урожаю", 0
92,Дни города,"Празднования города", 0
93,Масленица,"Традиционный праздник Масленица", 0
94,Праздники,"Традиционные праздники", 0
95,Новогодние и рождественские ярмарки,"Праздничные ярмарки", 0
96,Пасхальные фестивали,"Фестивали на Пасху", 0
97,Фольклорные праздники,"Празднования народных традиций", 0
98,Литературные мероприятия,"События, связанные с литературой", 0
99,Книжные ярмарки,"Выставки и продажи книг", 0
100,Фестивали литературы,"Литературные фестивали", 0
101,Поэтические вечера,"Вечера поэзии", 0
102,Мероприятия для детей,"События для детей", 0
103,Детские спектакли и шоу,"Театральные и развлекательные представления для детей", 0
104,Кукольные театры,"Театр кукол для детей", 0
105,Аниматоры,"Развлекательные программы с ведущими", 0
106,Мюзиклы для детей,"Музыкальные спектакли для детей", 0
107,Образовательные программы для детей,"Обучающие программы и мастер-классы для детей", 0
108,Научные шоу,"Познавательные шоу", 0
109,Развлечения для детей,"Развлекательные мероприятия для детей", 0
110,Детские фестивали,"Фестивали для детей", 0
111,Игровые зоны,"Игровые площадки", 0
112,Тематические вечеринки,"Праздники с определённой тематикой", 0
113,Игры и киберспорт,"Мероприятия, связанные с играми", 0
114,Настольные игры,"Игры за столом", 0
115,Турниры по настольным играм,"Соревнования по настольным играм", 0
116,Игровые вечера по настольным играм,"Совместные игровые встречи", 0
117,Киберспорт,"Соревнования по видеоиграм", 0
118,Турниры по киберспорту,"Соревнования по видеоиграм", 0
119,Игровые вечеринки по киберспорту,"Встречи для совместной игры", 0
