id,name,description,is_paid
1,"Культура и искусство","Различные культурные и художественные мероприятия.",0
2,"Музыка","Различные музыкальные мероприятия и концерты.",0
3,"Концерты","Живые музыкальные выступления разнообразных жанров и направлений.",1
4,"Поп-музыка","Выступления популярных артистов и групп.",1
5,"Рок-концерты","Энергичные выступления рок-музыкантов.",1
6,"Электронная музыка","Сеты и живые выступления диджеев и электронных проектов.",1
7,"Классическая музыка","Симфонические концерты и камерная музыка.",1
8,"Джазовые вечера","Живые выступления джазовых коллективов.",1
9,"Фольклорные ансамбли","Народная музыка и традиционные инструменты.",1
10,"Акустические концерты","Камерные выступления без усиления звука.",1
11,"Фестивали музыки","Крупные события, объединяющие множество артистов и жанров.",1
12,"Музыкальные фестивали","Многодневные события с разнообразными исполнителями.",1
13,"Уличные концерты","Бесплатные выступления на открытых площадках города.",0
14,"Фестивали электронной музыки","Масштабные ночные события с известными диджеями.",1
15,"Альтернативная музыка","Фестивали для любителей нестандартных жанров.",1
16,"Квартирники","Небольшие домашние концерты в уютной обстановке.",1
17,"Интимные концерты в домашних условиях","Близкий контакт с артистом в домашней атмосфере.",1
18,"Поддержка местных исполнителей","Знакомство с новой музыкой от местных музыкантов.",1
19,"Благотворительные концерты","Сбор средств на благотворительные цели через концерты.",1
20,"Театр и искусство","Театральные постановки и художественные выставки.",0
21,"Театральные постановки","Выступления профессиональных и любительских театров.",1
22,"Драмы","Глубокие и эмоциональные спектакли.",1
23,"Комедии","Веселые постановки для поднятия настроения.",1
24,"Мюзиклы","Театральные представления с пением и танцами.",1
25,"Кукольные спектакли","Представления для детей и взрослых с использованием кукол.",1
26,"Экспериментальный театр","Инновационные и нестандартные формы театра.",1
27,"Художественные выставки","Экспозиции работ художников, фотографов и скульпторов.",1
28,"Современное искусство","Работы современных авторов.",1
29,"Классическое искусство","Произведения искусства прошлых эпох.",1
30,"Фотовыставки","Экспозиции фотографий различных жанров.",1
31,"Скульптуры и инсталляции","Объемные художественные объекты и интерактивные проекты.",1
32,"Уличное искусство","Граффити, стрит-арт и другие формы уличного творчества.",1
